tooltype;steel;stainless;castiron;aluminum;universal;catnum;invnum;unit;grinded;mfr;holdertype;tipdiamm;tipdiainch;shankdia;pitch;neckdia;tslotdp;toollen;splen;worklen;bladecnt;tiptype;tipsize;material;coating;inserttype;cabinet;qty;issued;avail;minqty;secocab;sandvikcab;kennacab;niagaracab;extcab;sourcetable;subtype
Drill;0;0;0;0;0;32LGG536;732.7378.6939;mm;No;Niagara Cutter;HSK-A63;5;0.1969;19;N/A;N/A;N/A;82.14;32.0;73.0;7;30°;N/A;VHM;None;Type 2;5_F_6;12;2;10;1;N/A;N/A;N/A;6_F_8;46;tool;Modular Drill
Face Mill;1;0;1;0;0;82MBW851;777.6498.5808;mm;Yes;KENNAMETAL;SK-40;2;0.0787;12;N/A;N/A;N/A;116.0;10.0;33.78;9;90°;3;VHM;Aluminium Titanium Nitride;N/A;3_D_3;14;5;9;11;N/A;N/A;5_C_13;N/A;34;tool;Face Mill
End Mill;0;0;0;0;1;82WSI161;763.6857.6773;inch;Yes;Garant;HSK-A63;44.45;1.75;21;N/A;N/A;N/A;127.0;67.0;89.0;5;N/A;N/A;VHM;None;N/A;6_A_6;3;2;1;1;N/A;N/A;N/A;N/A;0;tool;Single Flute End Mill
Chamfer Mill;1;1;0;1;0;21KAU168;751.7560.2536;mm;Yes;SECO;SK-40;2;0.0787;21;N/A;N/A;N/A;168.0;21.0;27.0;6;N/A;N/A;VHM;Aluminium Titanium Nitride;Type 1;2_C_5;5;4;1;1;N/A;N/A;N/A;N/A;0;tool;Double-sided Chamfer Mill
Face Mill;0;0;0;0;0;72YUW591;770.7567.6037;inch;Yes;Garant;SK-40;15.875;0.625;37;N/A;N/A;N/A;68.0;11.0;20.96;7;90°;0.12;HSS;Diamond;Type 1;5_E_2;8;4;4;5;N/A;N/A;N/A;N/A;0;tool;High-feed Face Mill
Thread Tap;0;0;0;0;1;85NOU350;764.8225.5540;mm;Yes;Sandvik;SK-40;20;0.7874;34;M6;N/A;N/A;81.0;13.7;53.07;4;N/A;N/A;VHM;Aluminium Titanium Nitride;Type 1;3_E_13;9;3;6;9;N/A;5_C_13;N/A;N/A;31;tool;Thru-hole Thread Tap
End Mill;0;0;0;1;0;32XDK287;755.7229.4603;inch;No;Niagara Cutter;SK-40;9.525;0.375;25;N/A;N/A;N/A;57.3;11.0;20.77;2;30°;0.12;VHM;Aluminium Titanium Nitride;Type 2;2_C_10;4;1;3;3;N/A;N/A;N/A;1_A_3;1;tool;Variable Helix End Mill
Sphere Mill;0;0;0;0;1;73LAG431;743.4282.9021;mm;Yes;SECO;HSK-A63;16;0.6299;33;N/A;N/A;N/A;126.0;30.0;42.0;5;90°;N/A;VHM;Diamond;N/A;5_F_13;8;3;5;4;3_C_5;N/A;N/A;N/A;1;tool;Sphere Mill
Chamfer Mill;0;0;0;0;1;88HAG843;711.9709.2009;mm;No;SECO;HSK-A63;6;0.2362;46;N/A;N/A;N/A;132.0;29.92;32.43;1;90°;0.4;VHM;Aluminium Titanium Nitride;Type 3;6_A_15;8;0;8;5;6_A_5;N/A;N/A;N/A;22;tool;Double-sided Chamfer Mill
Chamfer Mill;0;0;0;0;1;89BMQ241;783.9996.8913;inch;Yes;KENNAMETAL;HSK-A63;3.175;0.125;38;N/A;N/A;N/A;103.0;10.37;75.85;6;90°;0.12;HSS;Diamond;Type 1;2_F_1;10;3;7;3;N/A;N/A;N/A;N/A;0;tool;Double-sided Chamfer Mill
Sphere Mill;1;1;1;1;0;89QVI754;730.1563.1275;mm;Yes;Sandvik;SK-40;3.5;0.1378;18;N/A;N/A;N/A;93.2;81.21;90.0;1;45°;0.4;HSS;Diamond;Type 3;5_B_7;5;2;3;4;N/A;2_C_7;N/A;N/A;29;tool;Sphere Mill
End Mill;0;0;0;0;1;85JTU534;703.8023.5361;inch;Yes;Sandvik;HSK-A63;15.875;0.625;33;N/A;N/A;N/A;85.1;23.7;51.0;4;30°;0.03;VHM;Aluminium Titanium Nitride;Type 3;5_B_1;2;2;0;0;N/A;N/A;N/A;N/A;0;tool;Variable Helix End Mill
T-Slot Mill;0;0;0;0;1;71TNF281;712.7854.3660;mm;Yes;Sandvik;HSK-A63;2.5;0.0984;23;N/A;12;8.6133;83.0;11.68;43.0;10;45°;1;HSS;Diamond;Type 1;5_E_10;5;0;5;5;N/A;N/A;N/A;N/A;0;tool;Radius T-Slot Mill
Sphere Mill;1;0;0;1;0;94SZT706;799.9641.2797;inch;No;Niagara Cutter;HSK-A63;9.525;0.375;47;N/A;N/A;N/A;177.0;78.77;144.3;6;90°;0.06;VHM;Aluminium Titanium Nitride;Type 1;1_B_6;0;0;0;0;N/A;N/A;N/A;N/A;0;tool;Sphere Mill
T-Slot Mill;0;0;0;0;1;12JPM842;718.8620.3597;mm;Yes;Niagara Cutter;HSK-A63;2;0.0787;12;N/A;9;12.6698;73.0;57.0;71.0;10;N/A;0.5;VHM;None;Type 3;3_E_6;7;2;5;2;N/A;N/A;N/A;N/A;0;tool;T-Slot Mill
Drill;0;0;0;0;1;23HII753;800.7145.7725;mm;No;KENNAMETAL;SK-40;3;0.1181;10;N/A;N/A;N/A;144.0;23.0;49.23;9;30°;N/A;VHM;Titanium Nitride;N/A;5_A_7;8;1;7;3;N/A;N/A;N/A;N/A;0;tool;Modular Drill
Sphere Mill;0;0;1;0;0;73FOF996;723.2895.2702;inch;Yes;Niagara Cutter;HSK-A63;9.525;0.375;45;N/A;N/A;N/A;200.0;98.03;112.0;1;45°;N/A;VHM;Titanium Nitride;Type 3;5_F_7;12;2;10;8;N/A;N/A;N/A;1_D_2;6;tool;Sphere Mill
End Mill;1;1;0;1;0;19RAG872;740.6351.4469;mm;No;KENNAMETAL;SK-40;16;0.6299;46;N/A;N/A;N/A;75.02;28.0;52.86;4;30°;N/A;VHM;None;Type 3;4_C_14;7;4;3;3;N/A;N/A;N/A;N/A;0;tool;Single Flute End Mill
Face Mill;0;0;0;0;1;88HNG849;784.7314.9350;mm;Yes;KENNAMETAL;SK-40;4.5;0.1772;23;N/A;N/A;N/A;71.35;25.41;27.0;3;N/A;0.5;VHM;Aluminium Titanium Nitride;Type 3;2_E_10;6;2;4;0;N/A;N/A;N/A;N/A;0;tool;Face Mill
Face Mill;1;0;0;1;0;73UNI564;700.3851.1438;mm;No;SECO;SK-40;10;0.3937;30;N/A;N/A;N/A;146.83;14.0;36.0;2;90°;0.3;VHM;Aluminium Titanium Nitride;Type 1;2_C_8;9;2;7;4;6_F_1;N/A;N/A;N/A;2;tool;High-feed Face Mill
T-Slot Mill;1;1;1;0;0;43KTW126;779.5101.3175;inch;Yes;Garant;HSK-A63;31.75;1.25;11;N/A;8;11.1666;168.11;17.75;73.44;3;90°;0.06;HSS;Titanium Nitride;Type 1;6_E_2;13;4;9;12;N/A;N/A;N/A;N/A;0;tool;T-Slot Mill
Thread Tap;0;0;0;0;1;40CNJ421;775.7298.7689;mm;No;SECO;SK-40;16;0.6299;44;2-56;N/A;N/A;87.46;39.0;53.0;8;45°;0.5;VHM;Aluminium Titanium Nitride;N/A;4_C_11;3;3;0;1;1_F_15;N/A;N/A;N/A;44;tool;Thru-hole Thread Tap
T-Slot Mill;0;1;0;0;0;51FLM103;779.5395.9431;inch;Yes;Niagara Cutter;SK-40;19.05;0.75;15;N/A;17;7.2456;71.18;10.0;61.16;4;90°;0.06;VHM;None;N/A;2_E_15;8;3;5;1;N/A;N/A;N/A;N/A;0;tool;Radius T-Slot Mill
Face Mill;0;0;0;0;1;11SVQ185;792.2655.8654;mm;No;SECO;HSK-A63;5;0.1969;14;N/A;N/A;N/A;71.87;29.0;31.0;6;30°;N/A;VHM;None;Type 2;6_D_9;11;4;7;11;3_A_1;N/A;N/A;N/A;31;tool;High-feed Face Mill
T-Slot Mill;0;0;0;0;1;31DXU574;723.2339.9164;inch;No;SECO;SK-40;6.35;0.25;22;N/A;8;13.7578;178.07;19.22;26.1;8;45°;0.03;VHM;None;Type 3;6_A_6;3;2;1;3;N/A;N/A;N/A;N/A;0;tool;Radius T-Slot Mill
Drill;1;1;0;0;0;88WIH660;777.2285.8684;mm;Yes;KENNAMETAL;SK-40;1.5;0.0591;32;N/A;N/A;N/A;134.44;17.0;77.42;7;N/A;2;VHM;None;Type 3;5_F_11;10;4;6;7;N/A;N/A;N/A;N/A;0;tool;Flat-end Drill
Face Mill;0;0;0;0;1;31SWK334;746.6661.4233;mm;Yes;Niagara Cutter;HSK-A63;1;0.0394;20;N/A;N/A;N/A;133.69;102.06;115.9;6;30°;N/A;HSS;Titanium Nitride;Type 3;5_F_10;8;0;8;0;N/A;N/A;N/A;N/A;0;tool;Face Mill
T-Slot Mill;0;0;0;0;1;37KYP616;723.8494.2703;inch;No;Sandvik;HSK-A63;19.05;0.75;14;N/A;15;7.8791;70.0;31.74;57.0;1;45°;0.06;VHM;None;Type 2;3_E_9;14;4;10;1;N/A;N/A;N/A;N/A;0;tool;Radius T-Slot Mill
Sphere Mill;0;0;0;0;1;41FPT421;711.2280.7491;inch;Yes;SECO;HSK-A63;19.05;0.75;28;N/A;N/A;N/A;54.0;16.0;44.0;6;30°;0.03;HSS;None;Type 1;1_A_4;12;4;8;3;2_C_2;N/A;N/A;N/A;32;tool;Sphere Mill
End Mill;0;1;1;0;0;67SEC920;702.6195.5085;inch;Yes;Niagara Cutter;HSK-A63;12.7;0.5;47;N/A;N/A;N/A;75.0;21.89;24.0;8;30°;0.03;HSS;Diamond;Type 3;5_C_11;12;2;10;12;N/A;N/A;N/A;N/A;0;tool;Ball Nose End Mill
T-Slot Mill;1;1;1;0;0;54HLJ984;791.4004.3223;mm;No;Garant;HSK-A63;8;0.315;20;N/A;15;8.2761;128.0;86.15;96.41;5;N/A;2;VHM;Diamond;Type 1;5_A_15;6;1;5;1;N/A;N/A;N/A;N/A;0;tool;Radius T-Slot Mill
Drill;0;0;1;1;0;35ZTB564;796.8978.6957;mm;No;Niagara Cutter;HSK-A63;16;0.6299;34;N/A;N/A;N/A;88.0;13.0;68.0;1;N/A;N/A;VHM;Titanium Nitride;N/A;2_B_4;11;2;9;1;N/A;N/A;N/A;N/A;0;tool;Pilot Drill
Chamfer Mill;1;1;0;0;0;21LWG152;710.7802.7698;inch;No;Sandvik;SK-40;38.1;1.5;50;N/A;N/A;N/A;123.25;11.0;26.51;4;N/A;N/A;VHM;Titanium Nitride;Type 2;1_E_2;1;1;0;0;N/A;N/A;N/A;N/A;0;tool;Double-sided Chamfer Mill
End Mill;0;0;0;0;1;61NKA227;732.4717.2706;inch;No;Garant;HSK-A63;6.35;0.25;16;N/A;N/A;N/A;89.39;36.7;47.61;4;N/A;N/A;VHM;Aluminium Titanium Nitride;Type 2;4_A_3;9;1;8;8;N/A;N/A;N/A;N/A;0;tool;Chamfer Ended End Mill
Thread Tap;0;0;0;0;1;56HSH627;778.9672.2585;mm;Yes;SECO;HSK-A63;5;0.1969;18;4-40;N/A;N/A;106.0;23.0;82.0;3;N/A;N/A;HSS;Aluminium Titanium Nitride;N/A;1_B_13;2;2;0;1;N/A;N/A;N/A;N/A;0;tool;Thru-hole Thread Tap
T-Slot Mill;0;0;0;0;1;94PGC426;768.3320.5583;mm;Yes;Niagara Cutter;SK-40;4;0.1575;43;N/A;18;7.1938;171.83;71.15;125.38;3;N/A;0.4;VHM;None;Type 1;4_A_14;1;0;1;0;N/A;N/A;N/A;N/A;0;tool;Radius T-Slot Mill
End Mill;0;0;0;0;1;67IUI366;715.7356.8416;inch;Yes;Garant;SK-40;19.05;0.75;46;N/A;N/A;N/A;191.66;144.6;158.35;8;30°;0.03;HSS;Diamond;Type 2;4_E_8;11;5;6;8;N/A;N/A;N/A;N/A;0;tool;Chamfer Ended End Mill
Sphere Mill;0;1;1;1;0;74JIB119;704.6799.2713;inch;Yes;Niagara Cutter;HSK-A63;6.35;0.25;49;N/A;N/A;N/A;53.65;14.81;46.14;9;30°;N/A;HSS;Titanium Nitride;N/A;4_C_12;5;3;2;0;N/A;N/A;N/A;N/A;0;tool;Sphere Mill
T-Slot Mill;0;1;1;1;0;41PTL974;747.7091.4098;inch;Yes;Niagara Cutter;HSK-A63;15.875;0.625;24;N/A;10;8.3964;118.0;16.0;36.0;1;45°;0.12;HSS;Titanium Nitride;Type 3;4_A_1;7;5;2;4;N/A;N/A;N/A;3_C_7;28;tool;Radius T-Slot Mill
Face Mill;1;0;1;0;0;71JKH850;709.3924.4542;inch;No;Sandvik;HSK-A63;19.05;0.75;40;N/A;N/A;N/A;97.61;72.4;79.17;5;N/A;N/A;VHM;None;N/A;3_B_13;9;2;7;1;N/A;3_D_4;N/A;N/A;5;tool;Face Mill
Drill;0;0;0;0;1;86XFW134;709.9181.5870;inch;Yes;KENNAMETAL;HSK-A63;15.875;0.625;45;N/A;N/A;N/A;186.0;75.14;104.0;3;N/A;0.12;HSS;Aluminium Titanium Nitride;Type 1;3_B_7;3;2;1;1;N/A;N/A;4_C_10;N/A;43;tool;Pilot Drill
Drill;1;0;0;1;0;68PSO859;713.8396.4904;inch;Yes;KENNAMETAL;SK-40;6.35;0.25;34;N/A;N/A;N/A;127.59;13.0;30.92;3;30°;N/A;VHM;Titanium Nitride;Type 3;2_C_3;3;3;0;1;N/A;N/A;N/A;N/A;0;tool;Flat-end Drill
Face Mill;1;1;1;1;0;28XAU950;765.5224.8513;inch;Yes;Sandvik;HSK-A63;31.75;1.25;31;N/A;N/A;N/A;51.0;27.0;40.0;3;N/A;N/A;VHM;Titanium Nitride;N/A;5_A_10;5;5;0;4;N/A;N/A;N/A;N/A;0;tool;High-feed Face Mill
Sphere Mill;0;0;0;0;1;16RDY951;770.4213.6868;mm;Yes;Sandvik;SK-40;1;0.0394;49;N/A;N/A;N/A;188.0;27.3;43.99;8;30°;N/A;HSS;Diamond;N/A;1_D_5;13;3;10;13;N/A;1_C_8;N/A;N/A;42;tool;Sphere Mill
Thread Tap;1;1;1;1;0;33KJK813;777.8793.8159;inch;No;SECO;SK-40;50.8;2;20;4-40;N/A;N/A;130.0;17.14;64.0;1;90°;0.03;HSS;Aluminium Titanium Nitride;Type 3;2_C_2;7;2;5;2;5_B_9;N/A;N/A;N/A;20;tool;Blind Hole Thread Tap
End Mill;1;1;0;0;0;86MAC369;700.6188.8667;inch;No;Niagara Cutter;HSK-A63;25.4;1;42;N/A;N/A;N/A;78.0;21.42;76.0;1;N/A;0.12;HSS;Diamond;Type 3;6_E_14;10;0;10;2;N/A;N/A;N/A;N/A;0;tool;Single Flute End Mill
Chamfer Mill;0;0;0;0;1;33JNJ753;784.4451.2349;mm;No;SECO;HSK-A63;12;0.4724;18;N/A;N/A;N/A;57.64;18.0;23.53;1;45°;0.5;VHM;None;Type 2;5_F_3;5;1;4;3;N/A;N/A;N/A;N/A;0;tool;Double-sided Chamfer Mill
Thread Tap;0;0;0;0;1;74TBA313;747.3500.3652;mm;No;KENNAMETAL;SK-40;4;0.1575;38;M3;N/A;N/A;137.86;21.0;64.0;7;45°;N/A;VHM;None;N/A;6_E_4;7;4;3;0;N/A;N/A;5_A_13;N/A;14;tool;Thru-hole Thread Tap
Thread Tap;0;0;0;0;1;76WIG539;707.1856.8070;inch;Yes;KENNAMETAL;HSK-A63;3.175;0.125;32;M6;N/A;N/A;169.0;57.74;112.0;6;N/A;N/A;VHM;Titanium Nitride;Type 1;1_D_10;13;5;8;0;N/A;N/A;N/A;N/A;0;tool;Thru-hole Thread Tap
Sphere Mill;0;0;0;0;1;91LIY781;716.3577.8156;mm;No;Sandvik;SK-40;2.5;0.0984;32;N/A;N/A;N/A;192.0;28.0;33.76;10;30°;3;HSS;None;Type 2;6_C_2;2;2;0;1;N/A;N/A;N/A;N/A;0;tool;Sphere Mill
End Mill;0;0;0;0;1;89HGD284;705.3685.3528;inch;Yes;SECO;HSK-A63;31.75;1.25;22;N/A;N/A;N/A;91.0;48.0;50.0;1;90°;N/A;VHM;None;N/A;5_F_2;3;2;1;0;N/A;N/A;N/A;N/A;0;tool;Chamfer Ended End Mill
T-Slot Mill;0;0;0;0;1;19DNZ946;702.9040.1980;inch;Yes;Garant;HSK-A63;44.45;1.75;30;N/A;20;8.1201;197.0;27.0;65.55;6;N/A;N/A;VHM;None;Type 2;6_B_12;8;3;5;6;N/A;N/A;N/A;N/A;0;tool;T-Slot Mill
Face Mill;1;1;0;0;0;46TUZ701;797.4365.6479;mm;No;SECO;HSK-A63;1.5;0.0591;49;N/A;N/A;N/A;133.0;58.25;65.0;1;45°;N/A;HSS;None;Type 2;6_E_10;11;3;8;1;N/A;N/A;N/A;N/A;0;tool;High-feed Face Mill
End Mill;0;0;0;0;1;40NUI563;719.4979.5080;mm;No;Niagara Cutter;SK-40;1;0.0394;42;N/A;N/A;N/A;118.0;62.0;80.62;1;90°;N/A;HSS;Titanium Nitride;Type 2;5_C_13;5;3;2;1;N/A;N/A;N/A;5_C_12;28;tool;Ball Nose End Mill
Face Mill;0;0;1;1;0;87NAX716;798.9618.7999;mm;Yes;Garant;SK-40;12;0.4724;29;N/A;N/A;N/A;170.37;14.11;71.66;9;45°;0.3;HSS;Aluminium Titanium Nitride;Type 1;6_D_12;10;4;6;9;N/A;N/A;N/A;N/A;0;tool;Face Mill
Sphere Mill;0;0;0;0;1;56QFQ281;743.8548.5317;inch;Yes;Garant;SK-40;44.45;1.75;10;N/A;N/A;N/A;159.84;30.88;85.52;5;30°;N/A;VHM;None;Type 2;4_D_2;4;4;0;1;N/A;N/A;N/A;N/A;0;tool;Sphere Mill
Thread Tap;0;0;0;0;1;67HAY697;786.8699.8868;inch;No;Sandvik;HSK-A63;15.875;0.625;11;M6;N/A;N/A;171.6;65.0;169.16;6;90°;0.06;VHM;Aluminium Titanium Nitride;Type 1;2_A_8;7;1;6;7;N/A;2_B_11;N/A;N/A;23;tool;Thru-hole Thread Tap
Thread Tap;0;0;0;0;1;54TMN936;738.6785.1631;mm;No;SECO;HSK-A63;2.5;0.0984;49;2-56;N/A;N/A;184.0;113.0;150.85;10;N/A;0.5;VHM;Aluminium Titanium Nitride;Type 3;6_C_8;9;2;7;4;N/A;N/A;N/A;N/A;0;tool;Thru-hole Thread Tap
Chamfer Mill;0;0;0;0;1;90QBJ389;791.2152.7706;mm;No;Garant;HSK-A63;8;0.315;28;N/A;N/A;N/A;173.19;39.95;96.0;3;N/A;2;VHM;Diamond;N/A;5_E_1;2;1;1;2;N/A;N/A;N/A;N/A;0;tool;Double-sided Chamfer Mill
End Mill;0;0;0;0;1;13CCL662;767.4699.6670;mm;No;Sandvik;SK-40;12;0.4724;44;N/A;N/A;N/A;146.76;26.97;42.0;5;30°;N/A;HSS;Diamond;Type 2;2_B_2;9;1;8;7;N/A;N/A;N/A;N/A;0;tool;Variable Helix End Mill
Sphere Mill;0;0;0;0;1;94UGO896;760.6915.7007;inch;No;Sandvik;SK-40;19.05;0.75;36;N/A;N/A;N/A;148.56;13.93;23.0;3;30°;0.12;HSS;Titanium Nitride;N/A;4_C_15;9;0;9;4;N/A;5_F_14;N/A;N/A;32;tool;Sphere Mill
Drill;0;0;0;0;1;24FHZ175;789.8881.7789;mm;No;SECO;HSK-A63;3.5;0.1378;42;N/A;N/A;N/A;126.74;31.0;74.0;9;N/A;0.3;HSS;None;Type 3;1_C_13;3;2;1;2;N/A;N/A;N/A;N/A;0;tool;Modular Drill
Thread Tap;0;0;0;0;1;45SUR857;761.7903.5944;inch;Yes;SECO;SK-40;38.1;1.5;36;M3;N/A;N/A;109.01;81.47;91.0;4;N/A;0.03;VHM;None;Type 3;3_A_1;13;3;10;6;N/A;N/A;N/A;N/A;0;tool;Thru-hole Thread Tap
End Mill;0;0;0;0;1;82NKY798;769.3554.6800;inch;No;Garant;HSK-A63;6.35;0.25;43;N/A;N/A;N/A;146.1;47.0;74.0;3;30°;N/A;HSS;Titanium Nitride;Type 2;6_C_7;8;5;3;4;N/A;N/A;N/A;N/A;0;tool;Chamfer Ended End Mill
Chamfer Mill;0;0;0;0;1;57UYD212;708.5110.3900;inch;Yes;KENNAMETAL;HSK-A63;3.175;0.125;41;N/A;N/A;N/A;86.82;35.0;51.0;10;30°;0.06;HSS;None;Type 2;3_D_3;10;5;5;0;N/A;N/A;N/A;N/A;0;tool;Double-sided Chamfer Mill
Face Mill;0;0;0;0;1;35POZ235;704.7190.1457;inch;Yes;Niagara Cutter;HSK-A63;6.35;0.25;50;N/A;N/A;N/A;134.0;27.04;126.0;2;90°;0.03;VHM;Diamond;Type 1;6_E_3;2;2;0;2;N/A;N/A;N/A;1_A_1;32;tool;Face Mill
End Mill;0;0;0;0;1;53VDO363;704.5951.4743;mm;Yes;Niagara Cutter;SK-40;2;0.0787;38;N/A;N/A;N/A;196.39;29.0;74.0;7;45°;N/A;VHM;Aluminium Titanium Nitride;Type 1;4_B_15;9;2;7;1;N/A;N/A;N/A;N/A;0;tool;Ball Nose End Mill
Face Mill;0;0;1;0;0;16LTJ434;736.6264.6669;inch;No;KENNAMETAL;HSK-A63;25.4;1;49;N/A;N/A;N/A;139.0;76.08;78.0;9;45°;0.12;HSS;Diamond;Type 3;3_E_14;1;0;1;0;N/A;N/A;1_D_12;N/A;1;tool;Face Mill
End Mill;1;1;1;0;0;30OLU780;734.2979.6121;mm;No;Niagara Cutter;HSK-A63;20;0.7874;50;N/A;N/A;N/A;188.57;68.0;101.75;2;N/A;N/A;VHM;Aluminium Titanium Nitride;Type 3;1_E_8;9;4;5;1;N/A;N/A;N/A;2_D_5;4;tool;Roughing End Mill
Face Mill;0;0;0;0;1;29XGV541;785.4293.6741;inch;No;Garant;SK-40;3.175;0.125;40;N/A;N/A;N/A;131.96;71.0;79.33;2;30°;N/A;HSS;Diamond;Type 3;6_C_11;10;4;6;0;N/A;N/A;N/A;N/A;0;tool;Face Mill
T-Slot Mill;0;0;0;0;1;59ORC298;726.9016.9979;mm;Yes;Sandvik;HSK-A63;3;0.1181;19;N/A;18;10.4211;120.87;79.79;110.0;9;45°;N/A;HSS;Diamond;Type 2;2_C_7;11;1;10;6;N/A;N/A;N/A;N/A;0;tool;Radius T-Slot Mill
Thread Tap;0;0;0;0;1;11WFW606;774.6332.9700;mm;No;KENNAMETAL;SK-40;8;0.315;18;0-80;N/A;N/A;117.95;73.0;81.41;8;N/A;0.3;VHM;Diamond;Type 3;4_B_14;9;0;9;0;N/A;N/A;4_A_6;N/A;27;tool;Blind Hole Thread Tap
Chamfer Mill;0;0;0;0;1;20WWR154;705.1504.2073;inch;Yes;Sandvik;HSK-A63;44.45;1.75;39;N/A;N/A;N/A;122.0;78.37;89.0;9;90°;N/A;VHM;Titanium Nitride;Type 2;6_A_13;7;2;5;3;N/A;6_E_3;N/A;N/A;45;tool;Double-sided Chamfer Mill
Chamfer Mill;0;0;0;0;1;81GPS858;751.3678.7173;inch;No;Sandvik;HSK-A63;12.7;0.5;41;N/A;N/A;N/A;160.63;75.0;145.72;1;30°;0.12;HSS;Aluminium Titanium Nitride;Type 1;4_D_13;10;5;5;6;N/A;1_B_8;N/A;N/A;42;tool;Double-sided Chamfer Mill
Drill;1;0;1;0;0;32SPG839;729.2679.6153;mm;No;KENNAMETAL;HSK-A63;6;0.2362;22;N/A;N/A;N/A;113.0;51.9;61.34;6;45°;0.3;VHM;Aluminium Titanium Nitride;Type 1;3_A_1;3;0;3;2;N/A;N/A;N/A;N/A;0;tool;Pilot Drill
Sphere Mill;1;1;1;0;0;84AQK487;734.7463.8365;inch;No;Garant;SK-40;19.05;0.75;50;N/A;N/A;N/A;174.0;10.22;31.0;7;30°;N/A;VHM;None;N/A;1_E_13;7;2;5;4;N/A;N/A;N/A;N/A;0;tool;Sphere Mill
